[0]     validation_0-logloss:0.53278
[50]    validation_0-logloss:0.23660
[100]   validation_0-logloss:0.19326
[150]   validation_0-logloss:0.17061
[200]   validation_0-logloss:0.15517
[250]   validation_0-logloss:0.14431
[300]   validation_0-logloss:0.13639
[350]   validation_0-logloss:0.13010
[400]   validation_0-logloss:0.12484
[450]   validation_0-logloss:0.12031
[500]   validation_0-logloss:0.11663
[550]   validation_0-logloss:0.11341
[600]   validation_0-logloss:0.11054
[650]   validation_0-logloss:0.10809
[700]   validation_0-logloss:0.10608
[750]   validation_0-logloss:0.10400
[800]   validation_0-logloss:0.10237
[850]   validation_0-logloss:0.10072
[900]   validation_0-logloss:0.09932
[950]   validation_0-logloss:0.09802
[999]   validation_0-logloss:0.09710
